NAMESPACE                   LAST SEEN   TYPE      REASON                    OBJECT                                                      MESSAGE
atlas-e2e                   74s         Normal    Scheduled                 pod/minio-bootstrap                                         Successfully assigned atlas-e2e/minio-bootstrap to bijux-atlas-e2e-control-plane
atlas-e2e                   73s         Normal    Started                   pod/minio-bootstrap                                         Started container minio-bootstrap
atlas-e2e                   73s         Normal    Created                   pod/minio-bootstrap                                         Created container: minio-bootstrap
atlas-e2e                   73s         Normal    Pulled                    pod/minio-bootstrap                                         Container image "minio/mc:RELEASE.2025-01-17T23-25-50Z" already present on machine
atlas-observability         58s         Normal    ScalingReplicaSet         deployment/atlas-observability-prometheus                   Scaled up replica set atlas-observability-prometheus-7595b747b8 from 0 to 1
atlas-observability         58s         Normal    Scheduled                 pod/atlas-observability-grafana-64b9766696-zmqfh            Successfully assigned atlas-observability/atlas-observability-grafana-64b9766696-zmqfh to bijux-atlas-e2e-control-plane
atlas-observability         58s         Normal    ScalingReplicaSet         deployment/atlas-observability-grafana                      Scaled up replica set atlas-observability-grafana-64b9766696 from 0 to 1
atlas-observability         58s         Normal    SuccessfulCreate          replicaset/atlas-observability-grafana-64b9766696           Created pod: atlas-observability-grafana-64b9766696-zmqfh
atlas-observability         58s         Normal    Scheduled                 pod/atlas-observability-prometheus-7595b747b8-pgh2d         Successfully assigned atlas-observability/atlas-observability-prometheus-7595b747b8-pgh2d to bijux-atlas-e2e-control-plane
atlas-observability         58s         Normal    SuccessfulCreate          replicaset/atlas-observability-prometheus-7595b747b8        Created pod: atlas-observability-prometheus-7595b747b8-pgh2d
atlas-observability         57s         Normal    Started                   pod/atlas-observability-otel-cbc899fc-mt82x                 Started container otel-collector
atlas-observability         57s         Normal    Created                   pod/atlas-observability-otel-cbc899fc-mt82x                 Created container: otel-collector
atlas-observability         57s         Normal    Started                   pod/atlas-observability-prometheus-7595b747b8-pgh2d         Started container prometheus
atlas-observability         57s         Normal    Created                   pod/atlas-observability-prometheus-7595b747b8-pgh2d         Created container: prometheus
atlas-observability         57s         Normal    Pulled                    pod/atlas-observability-prometheus-7595b747b8-pgh2d         Container image "prom/prometheus:v2.54.1" already present on machine
atlas-observability         57s         Normal    ScalingReplicaSet         deployment/atlas-observability-otel                         Scaled up replica set atlas-observability-otel-cbc899fc from 0 to 1
atlas-observability         57s         Normal    Created                   pod/atlas-observability-grafana-64b9766696-zmqfh            Created container: grafana
atlas-observability         57s         Normal    Started                   pod/atlas-observability-grafana-64b9766696-zmqfh            Started container grafana
atlas-observability         57s         Normal    Scheduled                 pod/atlas-observability-otel-cbc899fc-mt82x                 Successfully assigned atlas-observability/atlas-observability-otel-cbc899fc-mt82x to bijux-atlas-e2e-control-plane
atlas-observability         57s         Normal    Pulled                    pod/atlas-observability-otel-cbc899fc-mt82x                 Container image "otel/opentelemetry-collector-contrib:0.111.0" already present on machine
atlas-observability         57s         Normal    Pulled                    pod/atlas-observability-grafana-64b9766696-zmqfh            Container image "grafana/grafana:11.2.0" already present on machine
atlas-observability         57s         Normal    SuccessfulCreate          replicaset/atlas-observability-otel-cbc899fc                Created pod: atlas-observability-otel-cbc899fc-mt82x
atlas-e2e                   11s         Normal    Scheduled                 pod/minio-bootstrap                                         Successfully assigned atlas-e2e/minio-bootstrap to bijux-atlas-e2e-control-plane
atlas-e2e                   10s         Normal    Pulled                    pod/minio-bootstrap                                         Container image "minio/mc:RELEASE.2025-01-17T23-25-50Z" already present on machine
atlas-e2e                   10s         Normal    Created                   pod/minio-bootstrap                                         Created container: minio-bootstrap
atlas-e2e                   10s         Normal    Started                   pod/minio-bootstrap                                         Started container minio-bootstrap
